1,1488844,3,
1,822109,5,
1,885013,4,
1,30878,4,
1,823519,3,
1,893988,3,
1,124105,4,
1,1248029,3,
1,1842128,4,
1,2238063,3,
1,1503895,4,
1,2207774,5,
1,2590061,3,
1,2442,3,
1,543865,4,
1,1209119,4,
1,804919,4,
1,1086807,3,
1,1711859,4,
1,372233,5,
1,1080361,3,
1,1245640,3,
1,558634,4,
1,2165002,4,
1,1181550,3,
1,1227322,4,
1,427928,4,
1,814701,5,
1,808731,4,
1,662870,5,
1,337541,5,
1,786312,3,
1,1133214,4,
1,1537427,4,
1,1209954,5,
1,2381599,3,
1,525356,2,
1,1910569,4,
1,2263586,4,
1,2421815,2,
1,1009622,1,
1,1481961,2,
1,401047,4,
1,2179073,3,
1,1434636,3,
1,93986,5,
1,1308744,5,
1,2647871,4,
1,1905581,5,
1,2508819,3,
1,1578279,1,
1,1159695,4,
1,2588432,3,
1,2423091,3,
1,470232,4,
1,2148699,2,
1,1342007,3,
1,466135,4,
1,2472440,3,
1,1283744,3,
1,1927580,4,
1,716874,5,
1,4326,4,
1,1546549,5,
1,1493697,1,
1,880166,5,
1,535396,2,
1,494609,4,
1,1961619,5,
1,883478,4,
1,793564,4,
1,1567202,2,
1,573537,4,
1,1972040,4,
1,1838912,3,
1,411705,4,
1,2244518,5,
1,584542,5,
1,667730,5,
1,2488120,5,
1,1926776,1,
1,38052,3,
1,1196100,4,
1,314933,3,
1,1792741,2,
1,769643,1,
1,2477242,5,
1,1421006,3,
1,729846,4,
1,1719610,2,
1,1696031,4,
1,1817215,4,
1,406057,4,
1,636262,1,
1,1245406,4,
1,1834590,3,
1,593225,3,
1,1011918,4,
1,1665054,4,
1,2630337,5,
1,1155747,3,
1,2439493,1,
1,479924,5,
1,530789,5,
1,765860,4,
1,231001,3,
1,1493615,5,
1,1850615,2,
1,68959,3,
1,147386,5,
1,624035,5,
1,782308,5,
1,1116080,5,
1,421374,5,
1,1158759,4,
1,1025798,3,
1,1215397,5,
1,2475251,4,
1,321111,2,
1,2162676,3,
1,2635437,4,
1,2389367,1,
1,485622,5,
1,235553,4,
1,831869,4,
1,99400,5,
1,684876,4,
1,1871179,3,
1,1107678,5,
1,642036,3,
1,700890,5,
1,2289956,5,
1,2040859,1,
1,1524964,3,
1,121318,4,
1,317050,5,
1,2287003,5,
1,59052,2,
1,893742,4,
1,1346257,3,
1,55016,3,
1,30245,5,
1,743633,4,
1,1596531,5,
1,1125499,5,
1,706832,4,
1,2465337,3,
1,2291422,1,
1,1777406,3,
1,1904905,4,
1,2450433,3,
1,1348967,2,
1,638020,3,
1,2217779,4,
1,194280,1,
1,493009,4,
1,1567167,4,
1,850327,5,
1,520386,3,
1,320540,2,
1,1188228,2,
1,57961,4,
1,1113230,3,
1,1374216,2,
1,595778,3,
1,209573,4,
1,2354601,5,
1,2563596,4,
1,835265,4,
1,1819474,3,
1,1447104,3,
1,1100940,1,
1,143274,3,
1,2329565,4,
1,181592,4,
1,936396,2,
1,1125797,3,
1,2283366,3,
1,514495,4,
1,1772176,3,
1,1877347,4,
1,1287892,4,
1,255443,2,
1,890669,4,
1,1989766,4,
1,2315073,4,
1,14756,4,
1,907623,3,
1,991423,4,
1,1604238,4,
1,1027056,3,
1,2025883,5,
1,732936,5,
1,563962,5,
1,799442,4,
1,352635,5,
1,2537543,5,
1,1564395,4,
1,1655178,4,
1,573434,4,
1,1141189,4,
1,383247,5,
1,1763921,5,
1,1943970,5,
1,322009,3,
1,2333817,3,
1,2095681,2,
1,1149588,4,
1,2354740,5,
1,2421360,5,
1,496087,2,
1,2191781,1,
1,1694083,4,
1,818416,3,
1,701960,5,
1,2090477,4,
1,1664010,5,
1,2583822,5,
1,369646,5,
1,2234063,4,
1,259799,4,
1,1077982,4,
1,2631796,4,
1,1122383,3,
1,1508526,3,
1,1600207,5,
1,1283117,5,
1,1727869,5,
1,1522799,4,
1,1394012,5,
1,1558286,3,
1,1155602,3,
1,361066,3,
1,1743210,5,
1,1148389,4,
1,2268101,4,
1,519684,5,
1,767518,5,
1,122197,1,
1,2112162,4,
1,1073367,3,
1,400162,5,
1,1524343,5,
1,741245,4,
1,2563768,3,
1,1406595,4,
1,1137010,4,
1,60343,5,
1,225765,4,
1,2530404,3,
1,437881,3,
1,1935793,1,
1,134001,4,
1,2607300,3,
1,1008986,4,
1,94565,4,
1,828410,4,
1,1805202,4,
1,1922925,4,
1,1435717,5,
1,2277395,4,
1,2305014,5,
1,166041,4,
1,2413320,4,
1,87113,2,
1,722591,5,
1,2291306,1,
1,2010770,4,
1,255383,5,
